Q339896	Ajith Kumar
Q437	Ljubljana
Q472361	Amistad
Q512951	Lake County
Q369190	Frank Borzage
Q7546	Ingmar Bergman
Q234178	Bangor
Q887	Yekaterinburg
Q201625	House of Bernadotte
Q841118	Epic Movie
Q978420	Best Screenplay Award (Cannes Film Festival)
Q115134	Aida Turturro
Q898527	World Fantasy Award for Best Novel
Q18677875	Normandy
Q48953	Wycombe Wanderers F.C.
Q17151	Thessaloniki
Q646980	Aldershot
Q826535	Bernie Brillstein
Q655514	freestyle music
Q973616	Daddy Long Legs
Q294185	David Arquette
Q147409	Single Ladies (Put a Ring on It)
Q192474	Jeff Beck
Q9235	Georg Wilhelm Friedrich Hegel
Q3239689	Micky Dolenz
Q4610556	model
Q817159	All the King's Men
Q900906	bay
Q156305	a-ha
Q49024	Venice Film Festival
Q1146335	teen film
Q707717	Henry Corden
Q105660	Holly Hunter
Q11248	Windows XP
Q573327	Anthony Havelock-Allan
Q95125	James L. Brooks
Q1195543	Television Broadcasts Limited
Q169985	Pohang Steelers
Q136591	ZZ Top
Q857921	Cyclops
Q4635114	32nd United States Congress
Q839805	Myrtle Beach
Q910486	Bret McKenzie
Q80517	Shreveport
Q1141877	The Legend of Bagger Vance
Q1056114	Mike Henry
Q178848	University of Notre Dame
Q502908	Lost in Space
Q470601	Michael Radford
Q300842	Book of Shadows: Blair Witch 2
Q1124	Bill Clinton
Q221113	A.I. Artificial Intelligence
Q350588	Dr. Luke
Q930332	Lone Star
Q509256	Jackass: The Movie
Q202937	Stevie Ray Vaughan
Q32494	FC Schalke 04
Q380904	Steve Schirripa
Q114992	Essex County
Q908708	Neighbours
Q726071	Jimmy Buffett
Q106193	Lars Ulrich
Q10566	Saskatoon
Q1183	Puerto Rico
Q1143000	Club Universidad Nacional
Q926912	Craig Robinson
Q38	Italy
Q181899	Cliff Robertson
Q5570613	Jay Bennett
Q2216597	Sam O'Steen
Q1156	Mumbai
Q52413	University of Kansas
Q229197	Lisa Edelstein
Q573108	61st Berlin International Film Festival
Q159260	Santa Clara
Q202628	Oldham
Q1277029	Red Skelton
Q165745	Mercury Records
Q965859	Freddy vs. Jason
Q1754756	Ted Haworth
Q703524	Naruto Shippuden the Movie: Bonds
Q186591	Pakistan Peoples Party
Q8683	Cold War
Q215300	Jordin Sparks
Q405	Moon
Q737055	Cosmopolis
Q1216022	Who Is Killing the Great Chefs of Europe?
Q163584	Derry
Q9288	Hebrew
Q531624	Billy West
Q6607	guitar
Q249397	67th Golden Globe Awards
Q39042	Cheyenne
Q8093	Nintendo
Q14802842	Neighbors
Q1167725	The End of the Affair
Q542414	Steven Levitan
Q319996	Thomas Newman
Q745648	Bub Asman
Q494207	Schuylkill County
Q82112	México
Q23197	Nashville
Q309900	Peter Gallagher
Q230045	Tiffani Thiessen
Q715642	Roy Kinnear
Q470073	The Other Boleyn Girl
Q1540185	Juris Doctor
Q237287	Carol Channing
Q746029	3:10 to Yuma
Q185122	Carmen Electra
Q1137	Lorraine
Q93354	F. Scott Fitzgerald
Q556098	Pace University
Q54446	Carroll County
Q189991	Gorillaz
Q7204	Middle East
Q493605	Duval County
Q488912	Teton County
Q312510	Mark Bresciano
Q951946	Lady Margaret Hall
Q276542	Syfy
Q213959	Boston Red Sox
Q2081786	2007 NCAA Men's Division I Basketball Tournament
Q55469	Marcello Mastroianni
Q267097	Mandy Patinkin
Q461003	Steven Moffat
Q138107	War of the Sixth Coalition
Q333405	Perry Como
Q25136757	Call Me by Your Name
Q724144	Bancroft Prize
Q965379	Robert Morley
Q466186	A Fish Called Wanda
Q683014	The Garden of the Finzi-Continis
Q241646	June Foray
Q462177	White Plains
Q717302	Dustin Lance Black
Q295420	Mikhail Baryshnikov
Q13950	Picardy
Q520549	geologist
